Movie,Movie1,Rating,numRate
Independence Day (1996),ID4.1,1,11267
The Core,Core,1,3570
Armgeddon,Armag,1,11025
Deep Impact,Deep,1,2790
Geostorm,Geo,1,5016
San Andreas,SanAnd,1,5500
Independence Day (2016),ID4.2,1,10360
Movie2012,M2012,1,15560
The Day After Tomorrow,DayAft,1,6510
War of the Worlds,WarWor,1,10672
Poseidon,Pos,1,2700
The Perfect Storm,PerfSt,1,2610
Twister,Twist,1,2884
Titanic,Titan,1,25200
Independence Day (1996),ID4.1,2,7116
The Core,Core,2,3675
Armgeddon,Armag,2,7938
Deep Impact,Deep,2,2790
Geostorm,Geo,2,5358
San Andreas,SanAnd,2,4750
Independence Day (2016),ID4.2,2,9435
Movie2012,M2012,2,12448
The Day After Tomorrow,DayAft,2,6045
War of the Worlds,WarWor,2,6496
Poseidon,Pos,2,2592
The Perfect Storm,PerfSt,2,2262
Twister,Twist,2,2884
Titanic,Titan,2,9600
Independence Day (1996),ID4.1,3,11267
The Core,Core,3,6720
Armgeddon,Armag,3,11466
Deep Impact,Deep,3,5208
Geostorm,Geo,3,7980
San Andreas,SanAnd,3,8500
Independence Day (2016),ID4.2,3,15170
Movie2012,M2012,3,19839
The Day After Tomorrow,DayAft,3,11160
War of the Worlds,WarWor,3,11136
Poseidon,Pos,3,4968
The Perfect Storm,PerfSt,3,3828
Twister,Twist,3,4944
Titanic,Titan,3,13200
Independence Day (1996),ID4.1,4,18976
The Core,Core,4,11865
Armgeddon,Armag,4,19845
Deep Impact,Deep,4,11532
Geostorm,Geo,4,12768
San Andreas,SanAnd,4,17000
Independence Day (2016),ID4.2,4,23865
Movie2012,M2012,4,33843
The Day After Tomorrow,DayAft,4,23250
War of the Worlds,WarWor,4,21808
Poseidon,Pos,4,10476
The Perfect Storm,PerfSt,4,8178
Twister,Twist,4,10506
Titanic,Titan,4,20400
Independence Day (1996),ID4.1,5,40917
The Core,Core,5,21945
Armgeddon,Armag,5,40572
Deep Impact,Deep,5,26970
Geostorm,Geo,5,22914
San Andreas,SanAnd,5,37250
Independence Day (2016),ID4.2,5,39035
Movie2012,M2012,5,65352
The Day After Tomorrow,DayAft,5,53010
War of the Worlds,WarWor,5,50576
Poseidon,Pos,5,22896
The Perfect Storm,PerfSt,5,20184
Twister,Twist,5,25132
Titanic,Titan,5,42000
Independence Day (1996),ID4.1,6,94880
The Core,Core,6,25515
Armgeddon,Armag,6,82908
Deep Impact,Deep,6,52638
Geostorm,Geo,6,26562
San Andreas,SanAnd,6,67250
Independence Day (2016),ID4.2,6,41070
Movie2012,M2012,6,91804
The Day After Tomorrow,DayAft,6,113925
War of the Worlds,WarWor,6,108576
Poseidon,Pos,6,30456
The Perfect Storm,PerfSt,6,46110
Twister,Twist,6,51912
Titanic,Titan,6,93600
Independence Day (1996),ID4.1,7,176121
The Core,Core,7,17115
Armgeddon,Armag,7,115542
Deep Impact,Deep,7,46128
Geostorm,Geo,7,17670
San Andreas,SanAnd,7,57750
Independence Day (2016),ID4.2,7,25345
Movie2012,M2012,7,75077
The Day After Tomorrow,DayAft,7,133920
War of the Worlds,WarWor,7,131312
Poseidon,Pos,7,18792
The Perfect Storm,PerfSt,7,50460
Twister,Twist,7,54384
Titanic,Titan,7,222000
Independence Day (1996),ID4.1,8,129274
The Core,Core,8,7770
Armgeddon,Armag,8,77616
Deep Impact,Deep,8,22134
Geostorm,Geo,8,7752
San Andreas,SanAnd,8,26500
Independence Day (2016),ID4.2,8,10545
Movie2012,M2012,8,38900
The Day After Tomorrow,DayAft,8,67890
War of the Worlds,WarWor,8,71456
Poseidon,Pos,8,7884
The Perfect Storm,PerfSt,8,25056
Twister,Twist,8,28840
Titanic,Titan,8,298800
Independence Day (1996),ID4.1,9,53963
The Core,Core,9,2730
Armgeddon,Armag,9,34398
Deep Impact,Deep,9,7440
Geostorm,Geo,9,2736
San Andreas,SanAnd,9,9750
Independence Day (2016),ID4.2,9,3515
Movie2012,M2012,9,15560
The Day After Tomorrow,DayAft,9,23715
War of the Worlds,WarWor,9,25056
Poseidon,Pos,9,2484
The Perfect Storm,PerfSt,9,7830
Twister,Twist,9,10506
Titanic,Titan,9,199200
Independence Day (1996),ID4.1,10,50405
The Core,Core,10,4200
Armgeddon,Armag,10,39690
Deep Impact,Deep,10,8184
Geostorm,Geo,10,5130
San Andreas,SanAnd,10,16000
Independence Day (2016),ID4.2,10,6660
Movie2012,M2012,10,21006
The Day After Tomorrow,DayAft,10,25575
War of the Worlds,WarWor,10,25984
Poseidon,Pos,10,4644
The Perfect Storm,PerfSt,10,7482
Twister,Twist,10,14008
Titanic,Titan,10,277200
