ID,Team,Number,Name,Position,Height,Weight
3,Anaheim,7,Andrew Cogliano  ,C,70,184
4,Anaheim,15,"Ryan Getzlaf ""C"" ",C,76,218
6,Anaheim,17,Ryan Kesler  ,C,74,208
10,Anaheim,67,Rickard Rakell  ,C,72,201
13,Anaheim,44,Nate Thompson  ,C,72,210
26,Arizona,24,Kyle Chipchura  ,C,74,203
30,Arizona,9,Sam Gagner  ,C,71,202
31,Arizona,11,"Martin Hanzal ""A"" ",C,78,226
37,Arizona,50,Antoine Vermette  ,C,73,198
38,Arizona,14,Joe Vitale  ,C,71,205
49,Calgary,11,Mikael Backlund  ,C,72,198
50,Calgary,63,Sam Bennett  ,C,73,178
52,Calgary,17,Lance Bouma  ,C,73,210
53,Calgary,32,Paul Byron  ,C,67,153
54,Calgary,8,Joe Colborne  ,C,77,213
57,Calgary,60,Markus Granlund  ,C,71,185
58,Calgary,24,Jiri Hudler  ,C,70,186
60,Calgary,86,Josh Jooris   **,C,72,180
62,Calgary,23,Sean Monahan  ,C,74,185
64,Calgary,22,Drew Shore  ,C,75,205
65,Calgary,18,Matt Stajan  ,C,73,192
79,Edmonton,27,Boyd Gordon  ,C,72,200
83,Edmonton,51,Anton Lander  ,C,72,186
84,Edmonton,93,Ryan Nugent-Hopkins  ,C,72,190
88,Edmonton,8,Derek Roy  ,C,69,184
101,Los Angeles,77,Jeff Carter  ,C,76,212
105,Los Angeles,11,"Anze Kopitar ""A"" ",C,75,224
106,Los Angeles,22,Trevor Lewis  ,C,73,198
107,Los Angeles,71,Jordan Nolan  ,C,75,221
109,Los Angeles,10,Mike Richards  ,C,71,196
110,Los Angeles,28,Jarret Stoll  ,C,73,213
111,Los Angeles,73,Tyler Toffoli  ,C,73,196
124,San Jose,39,Logan Couture  ,C,73,200
125,San Jose,10,Andrew Desjardins  ,C,73,195
127,San Jose,48,Tomas Hertl  ,C,74,210
128,San Jose,68,Melker Karlsson  ,C,72,180
133,San Jose,8,"Joe Pavelski ""A"" ",C,71,190
136,San Jose,19,"Joe Thornton ""A"" ",C,76,220
137,San Jose,57,Tommy Wingels  ,C,72,200
148,Vancouver,13,Nick Bonino  ,C,73,196
153,Vancouver,53,Bo Horvat  ,C,72,206
155,Vancouver,27,Shawn Matthias  ,C,76,223
158,Vancouver,33,"Henrik Sedin ""C"" ",C,74,188
174,Chicago,16,Marcus Kruger  ,C,72,186
175,Chicago,42,Joakim Nordstrom  ,C,73,189
176,Chicago,91,Brad Richards  ,C,72,199
179,Chicago,65,Andrew Shaw  ,C,71,179
181,Chicago,86,Teuvo Teravainen  ,C,71,178
182,Chicago,19,"Jonathan Toews ""C"" ",C,74,201
195,Colorado,48,Daniel Briere  ,C,69,174
196,Colorado,24,Marc-Andre Cliche  ,C,72,202
197,Colorado,9,Matt Duchene  ,C,71,200
201,Colorado,29,Nathan MacKinnon  ,C,72,195
204,Colorado,7,John Mitchell  ,C,73,204
205,Colorado,90,Ryan O'Reilly  ,C,72,210
207,Colorado,25,Maxime Talbot  ,C,71,190
209,Colorado,18,Jesse Winchester   **,C,73,205
222,Dallas,20,Cody Eakin  ,C,72,190
224,Dallas,38,"Vernon Fiddler ""A"" ",C,71,205
227,Dallas,10,Shawn Horcoff  ,C,73,205
230,Dallas,17,Rich Peverley  ,C,71,195
233,Dallas,22,Colton Sceviour  ,C,72,200
234,Dallas,91,Tyler Seguin  ,C,73,200
235,Dallas,90,Jason Spezza  ,C,75,220
246,Minnesota,21,Kyle Brodziak  ,C,74,212
247,Minnesota,18,Ryan Carter  ,C,73,205
249,Minnesota,3,Charlie Coyle  ,C,75,221
251,Minnesota,64,Mikael Granlund   **,C,70,185
252,Minnesota,56,Erik Haula  ,C,71,188
253,Minnesota,9,"Mikko Koivu ""C"" ",C,75,215
257,Minnesota,10,Jordan Schroeder  ,C,69,176
275,Nashville,7,Matt Cullen  ,C,73,200
276,Nashville,12,"Mike Fisher ""A"" ",C,73,215
277,Nashville,9,Filip Forsberg  ,C,73,186
278,Nashville,28,Paul Gaustad  ,C,77,223
279,Nashville,19,Calle Jarnkrok  ,C,71,156
280,Nashville,13,Olli Jokinen  ,C,74,210
283,Nashville,63,Mike Ribeiro  ,C,72,177
284,Nashville,15,Craig Smith  ,C,73,202
286,Nashville,33,Colin Wilson  ,C,73,216
297,St. Louis,42,"David Backes ""C"" ",C,75,221
298,St. Louis,21,Patrik Berglund  ,C,75,217
