Runner,Gender,Place,Seconds,mph
1,M,1830,17375,5.432374101
2,F,2475,20988,4.497212693
3,M,1584,16642,5.671644033
4,M,1858,17453,5.408096029
5,M,1908,17705,5.331121152
6,M,1076,15207,6.206845532
7,M,1317,15905,5.934454574
8,M,92,11624,8.120053338
9,M,764,14286,6.60699286
10,M,215,12484,7.560677667
11,M,13,10200,9.253676471
12,M,376,13138,7.184312681
13,M,455,13445,7.020267758
14,F,2232,19165,4.924993478
15,F,1635,16816,5.612957897
16,F,1121,15336,6.15463615
17,F,1204,15556,6.067594497
18,M,586,13850,6.814981949
19,M,654,14017,6.733787544
20,M,230,12533,7.531117849
21,M,45,10940,8.62774223
22,M,379,13153,7.176119516
23,M,420,13318,7.087212795
24,M,384,13180,7.161418816
25,M,158,12165,7.758939581
26,M,2438,20527,4.598212111
27,M,1694,16973,5.561038119
28,M,963,14912,6.329633852
29,F,2327,19789,4.769695285
30,M,632,13963,6.75982955
31,M,19,10504,8.985862529
32,F,1201,15548,6.070716491
33,F,1260,15745,5.994760241
34,F,2499,22061,4.278477857
35,F,352,13042,7.237195215
36,F,2200,18998,4.968286135
37,M,1107,15280,6.177192408
38,M,1952,17879,5.279238212
39,M,703,14134,6.678045847
40,F,1979,17969,5.252796483
41,F,327,12950,7.288610039
42,F,1153,15425,6.119124797
43,M,1626,16788,5.622319514
44,M,921,14802,6.376672071
45,M,2333,19806,4.765601333
46,M,1600,16694,5.653977477
47,M,1901,17685,5.337150127
48,M,349,13030,7.243860322
49,M,638,13990,6.746783417
50,M,686,14088,6.699850937
51,M,1368,16051,5.880474737
52,M,333,12973,7.275687967
53,M,70,11453,8.241290492
54,M,2231,19163,4.925507488
55,M,44,10930,8.635635865
56,F,1334,15949,5.918082638
57,F,1792,17246,5.473008234
58,F,1403,16147,5.845513098
59,M,1664,16888,5.589027712
60,M,842,14515,6.50275577
61,M,1962,17917,5.268041525
62,M,1098,15264,6.183667453
63,M,1309,15870,5.947542533
64,M,1522,16516,5.714912812
65,F,1742,17109,5.516833246
66,F,660,14034,6.725630611
67,F,877,14631,6.451199508
68,F,1605,16704,5.650592672
69,F,1831,17375,5.432374101
70,M,518,13634,6.922949978
71,M,82,11565,8.161478599
72,M,1123,15342,6.152229175
73,M,2222,19105,4.940460612
74,F,1071,15199,6.210112507
75,F,1942,17817,5.297609025
76,F,1515,16483,5.726354426
77,F,2069,18352,5.143172406
78,F,1750,17118,5.513932702
79,F,1565,16594,5.688049898
80,F,99,11702,8.065928901
81,F,1327,15934,5.923653822
82,M,1420,16190,5.829987647
83,M,972,14937,6.319039968
84,F,2005,18087,5.218527119
85,F,1137,15369,6.141421042
86,F,2420,20407,4.625251139
87,F,1010,15031,6.279522321
88,F,1895,17661,5.344402922
89,F,2393,20233,4.66502743
90,F,432,13355,7.067577686
91,F,890,14676,6.431418643
92,F,135,11996,7.868247749
93,F,1234,15641,6.034620549
94,F,1382,16097,5.863670249
95,F,806,14409,6.550593379
96,F,1643,16840,5.604958432
97,F,823,14464,6.525684458
98,F,2386,20187,4.675657601
99,F,291,12802,7.372871426
100,F,939,14839,6.360772289
101,F,1617,16745,5.636757241
102,F,500,13594,6.943320583
103,F,1097,15257,6.186504555
104,F,2074,18367,5.138972069
105,F,2122,18582,5.079512431
106,F,1731,17070,5.52943761
107,F,1716,17023,5.544704224
108,F,1876,17536,5.382498859
109,M,387,13199,7.151109933
110,M,2423,20413,4.623891638
111,F,1713,17011,5.548615602
112,M,1466,16324,5.782130605
113,F,1759,17143,5.505891618
114,F,2112,18526,5.094866674
115,F,903,14741,6.403059494
116,F,1324,15915,5.93072573
117,F,979,14955,6.311434303
118,F,575,13822,6.82878744
119,F,697,14115,6.687035069
120,F,475,13523,6.979775198
121,F,1473,16345,5.774701744
122,F,2140,18659,5.058550833
123,M,233,12540,7.526913876
124,F,2201,18999,4.968024633
125,F,2336,19817,4.762956048
126,F,1661,16886,5.589689684
127,F,348,13016,7.251651813
128,M,2326,19769,4.774520714
129,M,480,13544,6.968953042
130,M,372,13128,7.189785192
131,M,521,13640,6.919904692
132,M,1043,15122,6.241733898
133,M,211,12479,7.563707028
134,M,2301,19633,4.807594356
135,M,394,13230,7.134353741
136,M,552,13745,6.867042561
137,M,579,13827,6.826318073
138,M,911,14770,6.390487475
139,M,561,13772,6.853579727
140,M,1683,16930,5.575162434
141,M,412,13294,7.100007522
142,M,1479,16370,5.765882712
143,M,511,13612,6.934138995
144,M,1609,16730,5.641811118
145,M,741,14226,6.634858709
146,M,1244,15674,6.021915274
147,M,182,12343,7.647046909
148,M,402,13261,7.117675892
149,M,2331,19801,4.766804707
150,M,1094,15252,6.188532651
151,M,324,12944,7.291988566
152,M,573,13813,6.833236806
153,M,111,11798,8.00029666
154,M,1131,15354,6.147420868
155,M,2110,18517,5.097342982
156,M,515,13629,6.925489764
157,M,1909,17708,5.330217981
158,M,551,13739,6.870041488
159,M,150,12117,7.789675662
160,F,2293,19552,4.827511252
161,F,2169,18850,5.00729443
162,F,1468,16330,5.780006124
163,F,1532,16537,5.70765556
164,F,635,13985,6.749195567
165,F,124,11951,7.897874655
166,F,2125,18594,5.076234269
167,F,2309,19662,4.800503509
168,F,192,12379,7.624808143
169,F,2311,19674,4.79757548
170,F,1480,16370,5.765882712
171,F,1886,17572,5.371471659
172,F,1571,16604,5.684624187
173,F,2409,20354,4.637294881
174,F,2255,19307,4.888770912
175,M,1410,16162,5.84008786
176,F,808,14421,6.545142501
177,F,1914,17714,5.328412555
178,F,1206,15560,6.066034704
179,F,250,12598,7.492260676
180,F,227,12517,7.540744587
181,F,1254,15728,6.001239827
182,F,1915,17720,5.326608352
183,F,571,13809,6.835216163
184,F,2265,19371,4.872618863
185,F,1138,15370,6.14102147
186,F,1438,16240,5.812038177
187,F,664,14051,6.717493417
188,F,1288,15827,5.96370127
189,F,417,13312,7.090407151
190,F,2335,19817,4.762956048
191,F,1714,17013,5.547963322
192,F,2322,19746,4.780082042
193,F,1224,15610,6.046604741
194,F,1140,15382,6.136230659
195,M,1261,15748,5.993618237
196,M,2175,18890,4.996691371
197,M,1248,15694,6.014241111
198,M,1832,17377,5.431748863
199,M,1688,16947,5.569569835
200,F,2245,19218,4.911411177
201,M,477,13527,6.977711244
202,F,2105,18497,5.102854517
203,F,1898,17672,5.341076279
204,F,1265,15760,5.989054569
205,M,1441,16245,5.810249307
206,M,1951,17876,5.280124189
207,F,2284,19489,4.84311663
208,F,2444,20559,4.591055012
209,M,385,13187,7.15761735
210,M,860,14580,6.473765432
211,F,1884,17571,5.37177736
212,F,872,14610,6.460472279
213,F,2083,18385,5.133940713
214,F,396,13231,7.133814526
215,F,2009,18116,5.210173327
216,F,1822,17334,5.445223261
217,F,1677,16912,5.581096263
218,M,843,14516,6.502307798
219,M,380,13154,7.17557397
220,M,1025,15090,6.254970179
221,M,58,11137,8.475127952
222,F,2445,20571,4.588376841
223,M,747,14238,6.629266751
224,M,15,10312,9.153171063
225,F,2297,19595,4.816917581
226,M,1717,17024,5.544378524
227,F,2303,19642,4.805391508
228,F,1953,17887,5.276877062
229,F,982,14962,6.308481486
230,F,2176,18906,4.99246271
231,F,848,14536,6.49336131
232,M,129,11970,7.885338346
233,F,678,14079,6.704133816
234,M,1385,16098,5.863306001
235,M,815,14435,6.538794596
236,F,1674,16911,5.581426291
237,F,1351,15994,5.901431787
238,F,941,14848,6.356916756
239,F,645,13996,6.743891112
240,M,419,13315,7.088809613
241,M,38,10842,8.705727726
242,M,1003,15021,6.283702816
243,M,466,13488,6.997887011
244,M,936,14829,6.365061703
245,M,650,14007,6.738594988
246,M,1580,16630,5.675736621
247,M,2185,18958,4.978768857
248,M,1130,15350,6.149022801
249,M,868,14606,6.462241545
250,M,289,12799,7.374599578
251,F,1570,16603,5.684966572
252,F,1325,15916,5.930353104
253,F,2242,19207,4.914223981
254,F,1502,16458,5.735052862
255,F,2061,18320,5.152156114
256,M,381,13156,7.174483126
257,M,1587,16652,5.668238049
258,M,60,11199,8.428207876
259,M,51,11037,8.551916282
260,M,364,13089,7.211207884
261,M,1881,17556,5.376367054
262,M,2144,18682,5.052323092
263,M,80,11524,8.190515446
264,M,1850,17429,5.41554306
265,M,1422,16195,5.828187712
266,M,1539,16555,5.701449713
267,M,916,14778,6.387028015
268,F,2437,20516,4.60067752
269,M,2431,20496,4.605166862
270,M,355,13058,7.228327462
271,M,780,14335,6.58440879
272,M,1990,17994,5.245498499
273,M,898,14730,6.407841141
274,M,1157,15433,6.115952828
275,M,1383,16098,5.863306001
276,M,607,13909,6.786073765
277,M,1187,15504,6.087945046
278,M,140,12029,7.846662233
279,M,612,13920,6.780711207
280,M,1673,16909,5.582086463
281,F,2358,19956,4.729780517
282,M,382,13158,7.173392613
283,M,29,10697,8.823735627
284,M,785,14351,6.5770678
285,M,642,13994,6.744854938
286,M,263,12633,7.471503206
287,F,1841,17399,5.42488074
288,F,2414,20380,4.631378803
289,M,31,10733,8.79413957
290,M,496,13586,6.947409098
291,M,2055,18281,5.16314753
292,M,74,11496,8.210464509
293,M,91,11624,8.120053338
294,M,1640,16830,5.60828877
295,F,1197,15534,6.076187717
296,F,665,14052,6.717015371
297,M,1160,15434,6.115556563
298,M,12,10160,9.290108268
299,M,1105,15275,6.179214403
300,M,1735,17088,5.523613062
301,M,336,12975,7.274566474
302,M,535,13695,6.89211391
303,M,1092,15242,6.192592836
304,M,787,14351,6.5770678
305,M,422,13321,7.085616695
306,M,1440,16245,5.810249307
307,M,830,14483,6.517123524
308,M,2362,20008,4.717488005
309,M,442,13410,7.038590604
310,M,1101,15267,6.182452348
311,M,745,14236,6.630198089
312,M,88,11612,8.128444712
313,M,601,13895,6.792911119
314,M,2493,21552,4.379523942
315,M,1793,17251,5.471421947
316,M,310,12872,7.332776569
317,M,2129,18610,5.071869962
318,M,79,11517,8.195493618
319,M,1037,15111,6.246277546
320,F,1675,16911,5.581426291
321,F,648,14005,6.739557301
322,F,1743,17109,5.516833246
323,M,905,14744,6.401756647
324,F,260,12618,7.480385164
325,F,680,14082,6.702705582
326,F,2220,19084,4.945897087
327,F,1880,17545,5.379737817
328,M,241,12564,7.512535817
329,F,399,13244,7.126812141
330,M,2372,20075,4.701743462
331,M,542,13720,6.879555394
332,M,259,12614,7.482757254
333,M,1827,17355,5.438634399
